id,texto,emocion
3470,"Hoy juega el más grande, hoy es día de USER y del USER Hoy se juega futbol espacial cuando el 10 pisa las canchas. Hoy se piensa en el gran capitán blanco USER y su pronta recuperación. Hoy hay Champions! #ChampionsLeague #Barcelona https://t.co/T0RmlWpkmz",joy
3471,Resultado injusto. Un Barça mediocre se lleva una ventaja excesiva #ChampionsLeague #BarçaLiverpool,sadness
3472,"Reflexión: al final triunfó el ""sólo sí es sí"". Y se hizo el silencio, ¿lo escuchan? La demostración aplastante de que la solución no está en gritar ""Arriba España"". Porque la bandera se lleva en los hechos, y no en la muñeca. #EleccionesL6 #ElecccionesGenerales28A #ConRiveraNo",joy
3473,Siempre será blaugrana y más de #Messi ⚽️🏆 la décima del enano 1️⃣0️⃣ #LaLiga 🇪🇸@#MesQueUnClub🔵🔴 #26 USER #Campeones https://t.co/eY1G8OSBst,others
3474,#NotreDame se quemó gracias al gobierno imbécil progre que deja entrar a cualquiera a su país. *Monito estúpido amarillo golpeando la mesa*,anger
3475,"Menos 📲 y más 📚. ""El libro es el arma más potente contra la ignorancia"". #DiaDelLibro 📚🤓 https://t.co/bgf4xdd1mm",others
3476,"Tremenda muestra de dignidad del canciller Jorge Arreaza en representación de su pueblo y gobierno de #Venezuela el pasado año 2018, posición mantenida firmemente en el actual 2019, tanto por los venezolanos... https://t.co/imh7tziT3f",others
3477,#LaLiga Messi hace el gol para que el Barcelona levante la copa El argentino se encargó de agilizar el juego y su presencia marcó la diferencia al minuto 62 al aprovechar varios rebotes en el área del Levante. Mira aquí el gol: https://t.co/LlRB9RWyTj https://t.co/Yi4nhThAne,others
3478,🎥 ¿Qué visitar? | Los 3 escenarios de #JuegodeTronos en #Bizkaia 👉https://t.co/zd2kTBIAoV https://t.co/PsDG6eHh8h,others
3479,Hoy sólo podemos sentir una profunda tristeza... #NotreDame #NotreDameEnLlamas https://t.co/VaUWuHp5YN,sadness
3480,"#NotreDame: la ""estructura"" del monumento pudo ser salvada ""en su totalidad"", según los bomberos franceses. Los trabajos para apagar las llamas por completo continúan. https://t.co/AE9xZbZRZX [ct]",joy
3481,"En Twitter uno encuentra cada imbécil, ya uno se queda tipo Plo con la evolución y osadía de estos tarados. Burlarse de un hecho como el de #NotreDame de verdad que eso solo de imbéciles",anger
3482,Técnicamente se denomina DERROCAMIENTO eso es lo que sucede en #Venezuela hoy https://t.co/jib2D1s1vV,others
3483,Cidh llamó a proteger la libre manifestación y condenó actos de violencia en #Venezuela https://t.co/YdBdzOtnPZ,others
3484,BUSCAS UN ABDOMEN PLANO???? DIETY te hará seguir la dieta al pie de la letra ADEMAS te dará energía para hacer tu rutina de ejercicio #Madero #Tampico #Dieta #BTSOnE #ChampionsLeague #YNWA #Fit #fitnessgirl #FitMom #MiercolesDeEllas #MiercolesDeBarbas https://t.co/Ab2ZqNlEkb,others
3485,USER Mi triste por esta terrible tragedia. Mi corazón está con Paris y Francia el día de hoy! #NotreDame,sadness
3486,Un recuerdito de #NotreDame es una noticia muy triste la verdad. #PrayForNotreDame https://t.co/a7m23Uicc9,sadness
3487,¿Es mi tele o se está viendo todo más bien mal? #JuegoDeTronos #GameOfThrones #VivePoniente #Got8x03,others
3488,Esto ha sido más emocionante que las votaciones en Eurovision!!!!!! #ElecccionesGenerales28A,joy
3489,"""No quiero que tengan esperanza, quiero que sintan pánico. Quiero que tengan miedo todos los días. Y entonces quiero que actuen”, esas palabras son de #GretaThunberg #CambioClimatico en https://t.co/NunfuNPafe",others
3490,"#NotreDame en llamas. La derecha arrasando en las urnas y hordas de iluminadxs llamando a votar. Las empresas peleando los últimos pedazos de energía fósil del planeta. La sociedad de la información, histérica y manipulada. El capitalismo follándonos y la peña pidiendo pacifismo.",anger
3491,Batacazo histórico de la derecha #ElecccionesGenerales28A,others
3492,Disfrutando del día de #SantJordi2019 con USER 🌹📖 #DíaDelLibro #CríaComoPuedas https://t.co/1GwmzkirYt,others
3493,"#GretaThunberg 15 años, y la claridad del futuro en sus palabras https://t.co/o6f7Fttx15 vía USER #COP24 USER",others
3494,USER Bonito #DiaDelLibro 🌹 #MiPecaTraviesa 😋 Besukys a tutiplén y sonrisas 🌈 🤗💕🐾🌙 https://t.co/VWC0SAQlWl,joy
3495,"Y bueno, esta #ChampionsLeague al igual que las últimas 6-5 se resumen en tener o no tener a Cristiano Ronaldo o Leo Messi.",others
3496,"Bueno #GretaThunberg , la elite de la económia del mundo se quedo muy impresionada. Y ahora en adelante todo es diferente ! https://t.co/cD35peF7CW",others
3497,Y USER vuelve a dejar en la calle a la basura de USER #DiosdadoCabello el aun cree q esto es un juego y q Guaido es un gafo. Por segunda vez lo deja loco. #VenezuelaLibre https://t.co/L8Bx67c0jA,others
3498,"No solo tienen razón, tienen derecho, por USER #FridayForFuture #15MClimático #GretaThunberg # https://t.co/ZReEniT7aF",others
3499,Que triste lo de #NotreDame y pensar que el mes pasado andaba por allá... https://t.co/Tqx9E9YTF7,sadness
3500,Atlético de Madrid ficha a uno de los mejores defensores de Europa para la temporada 2019-2020... https://t.co/INBIWYXSQ5 #ChampionsLeague #CHAMPIONSxESPN https://t.co/fFYpwusPPp,joy
3501,"Las cosas injustas del fútbol, que un equipo que juega muy bonito llevara 3 temporadas sin ganar un solo título. Ambas cosas responsabilidad de su entrenador. #ChampionsLeague #BarçaLFC #Liverpool",others
3502,"En el #DiaDelLibro celebramos el esfuerzo de los escritores venezolanos por mostrar en España lo mejor de Venezuela. Y en #SantJordi, de la mano de USER , una representación de ellos lo demuestra. #23Abril #VenezuelaBrillaEnEspaña https://t.co/31opP5VEIA",others
3503,"USER USER USER La afición azulgrana ha tomado Canaletas, clásico lugar de celebración de los títulos del Barcelona #LaLiga #Barcelona https://t.co/5ki7nfLEsp",others
3504,#23Abr #DiaDelLibro festival de lecturas de paz y convivencia por el día del libro y el idioma USER USER USER USER USER USER https://t.co/VLPYfcxFz2,others
3505,Huelga climática en Alicante. ¡Queda esperanza desde Altea! Que sea la primera de muchas! #huelgaclimatica #GretaThunberg https://t.co/KiqLqlccDV,others
3506,"Ya está! Se ha enfadado USER por no incluirlo en las opciones del #MVP, todo para el 👀⚽ #ChampionsLeague",others
3507,Que injusto es el fútbol a veces....y como me alegro 😊 #ChampionsLeague #barcalfc,joy
3508,"Huy nooo, solo hay una forma de describir esto.... que gol tan hijueputaaa!! #ChampionsLeague #Messi",surprise
3509,#Venezuela: Que el golpe no tenía la intención de incursionar en #Miraflores sino en las embajadas de Brasil y Chile. Y lo logró. https://t.co/zOje01UjUJ,others
3510,Hoy en el día del libro os damos 10 recomendaciones! ¿Para ti qué libro es imprescindible en esto de emprender? recomiéndanos libros #Fighters #DiaDelLibro https://t.co/Jv2tfrFl60 https://t.co/zW1yZr1G3K,others
3511,¡SEPA! La Cruz Roja distribuyó ayuda humanitaria a pacientes en Caracas este #28Abr #Venezuela #30Abril https://t.co/DvOndPB7cy,joy
3512,Luchemos por un México 🇲🇽 que practique y celebre la cultura de la lectura en niños y adultos 📚 #DíaInternacionalDelLibro #DíaDelLibro #MiLibroFavorito https://t.co/QXnEEWAJmJ,others
3513,USER #PorraTecnosMC #LeganesCelta #PorraTecnosMCLeganesCelta #LaLiga #LaLigaSantander 0-2 Aspas y Araujo (33’ y 60’) #APorEles #ANosaReconquista,others
3514,"GOLAZO DEL MEJOR DEL MUNDO, DE LA HISTORIA. #Messi #ChampionsLeague",joy
3515,"USER Estimado,como lamento todo lo que pasaste estando preso,me acuerdo cuando viniste a Uruguay a contar lo que pasaba en Venezuela y luego fue todo un desastre,Uruguay está contigo y Guaido a pesar de Vásquez...🇺🇾 USER #VenezuelaLibre",sadness
3516,"Lo mejor que le podemos regalar a nuestros hijos son libros, así aumentamos su vocabulario e imaginación... #DiaDelLibro",joy
3517,QUE PUTO CAPITULAZO. LO HE FLIPADO EN LA MIERDA MADRE DE DIOS. #JuegodeTronos,joy
3518,USER ¿A que vamos a reconstruir Notre Dame antes de mandar un solo barco de salvamento al Mediterráneo... a que sí? #NotreDameEnLlamas https://t.co/ASgAqpWkFn,sadness
3519,"Señoras y señores, lo conseguimos. Hoy hemos parado a la España más rancia y casposa, gracias a todos. #ElecccionesGenerales28A",joy
3520,"Lo de “La única iglesia que ilumina es la que arde” se dice con muchos argumentos Seas espiritual o no, la iglesia como institución es la peor, desde las cruzadas, el oscurantismo hasta la pedofilia de hoy Si me apena #NotreDame es solo por la pérdida cultural y arquitectónica",sadness
3521,Amar a un hombre que tal vez nunca vea.... amo a Leo Messi! #ChampionsLeague #FCBarcelona,joy
3522,"#VenezuelaSeRespeta, la ley debe caer con todo su peso sobre los que inciten a la violencia y la desestabilización. #NicolásMaduro legítimo presidente del pueblo de #Venezuela https://t.co/pG36mwefST",others
3523,En el #DíaDelLibro queremos que todos disfruten de una buena lectura. #PasaLaVoz y cuéntanos: ¿Qué estas leyendo ahora? https://t.co/JmZY3uzSzM,others
3524,"""El soldado que le dispara a un civil desarmado es un cobarde cerdo asqueroso."" #Venezuela🇻🇪 https://t.co/yJ41zNl47c",anger
3525,"Ganó la izquierda, batacazo del PP. Ahora a construir la España que queremos. #ElecccionesGenerales28A #28A",joy
3526,Lo vuelve hacer su majestad Lío 👑 #CHAMPIONSxESPN #UCL #ChampionsLeague #VISCAELBARCA #Messi600 https://t.co/fy1OW4mqNX,others
3527,"USER Gracias a usted, estimado señor ministro USER por comunicar! #VenezuelaLibre",others
3528,"En el #DíadelLibro las profesoras de #InfantilLoretoSpinola representan ""San Jorge y el dragón"" #MeGustaLeer #DíaInternacionalDelLibro #MiPróximaParadaTú https://t.co/vV8wcWtHJr",others
3529,Gracias a todes les que habéis votado💜 #ElecccionesGenerales28A,joy
3530,Felicitar a los culés por el título d liga. ENHORABUENA #LaLiga #BarcaLevante #Campeones,joy
3531,Hoy estamos perdiendo una joya arquitectónica por culpa del fuego. Ojalá que exista la magia para poder evitar la tragedia. #notredame https://t.co/TH7OsuMkEV,sadness
3532,Restaurando fe en la humanidad ( de España) después de las elecciones #Elecciones2019 #ElecccionesGenerales28A #EleccionesGenerales #ELECCIONES #eleccionesgenerales #EleccionesGenerales2019,joy
3533,Me causa mucha tristeza que un momunento tan impresionante e histórico como #NotreDame se haya incendiado... Es una enorme tragedia.,sadness
3534,"Contra el #CambioClimático gran iniciativa la de #GretaThunberg ""Quiero que actúen como si su casa estuviera incendiándose. Porque así es"" 👩‍🚒🔥🌍 https://t.co/VARJOs4Ypc",others
3535,Ahí tenéis al sucesor de FraCasado 😅 #EleccionesL6 #ElecccionesGenerales28A #28A https://t.co/IboMdMv4p0,others
3536,"Amados en las naciones, Nuestro tiempo de enseñanza esta noche ha sido suspendido mientras nos dedicamos a orar por #Venezuela. Permanezca en su casa con los suyos desde su propio país,… https://t.co/ZWFtyIRFKb",others
3537,Muy fan de #GretaThunberg Mensajes que hacen pensar y que invitan a la acción. Sólo entonces llegará la esperanza https://t.co/XXEvcV1vrj,others
3538,"Oh, sí! Por supuesto! El uso hace la regla. Ya he perdido la cuenta de cuantos libros buenos yo he prestado y nunca me regresaron o viceversa! 🙈 Los buenos libros son como los buenos esposos... No se prestan! 😂 ¡Feliz #DiaDelLibro! ❤️📖📚 https://t.co/iFoQKNindU",joy
3539,"Durante estos cuatro años podríamos pensar un sistema seguro para poder votar de forma online, no quiero pensar en la cantidad de papel que se ha derrochado en estos días... #EleccionesL6 #ElecccionesGenerales28A #28A",others
3540,Que vergüenza la izquierda Argentina!!! Patética!! Por dios!!!#VenezuelaLibre,anger
3541,"Para celebrar el día del libro los alumnos de 4° ESO B nos han contado un cuento: ""El amor es ciego y la locura son sus ojos"". #jorgebucay #diadellibro #sembradoresdeEsperanza #colegiossv https://t.co/XAEQg0kAxz",others
3542,"Me cago en mi puta vida, vaya CAPITULAZOOOO!! Sólo diré que es mejor verlo con la luz apagada y las persianas echadas, porque visualmente es muy oscuro y si no, no se ve na. Y que es el más brutal de la serie hasta ahora. Na más. A sufrirlo y a disfrutarlo 😱😱😱😱 #JuegodeTronos",joy
3543,"Me encantará cuando Sánchez se monte en el falcón hacia el extranjero, e Iglesias sea el presidente en ese momento. #ElecccionesGenerales28A",joy
3544,Y por eso dembélé es suplente #ChampionsLeague https://t.co/Ern34ugPxR,others
3545,El CAMP NOUUUUUUU QUE HERMOSO 😍❤️😭 algún día estaré ahí! #ChampionsLeague,joy
3546,"Obvio, también recomiendo libros sobre ColoColo. El mejor es Por empuje y coraje, pero no se encuentra en librerías :( #DiaDelLibro",sadness
3547,USER El temor de un hombre sabio USER #DíaDelLibro,others
3548,"#DiaDelLibro Un libro y sus historias hacen q la imaginación vuele, desarrollando los sentidos, acercándose casi a lo real... https://t.co/wKpzC4rAQo",others
3549,¿Ya les va quedando claro que la Venezuela de Maduro es un satélite de Rusia y Cuba? #VenezuelaLibre,others
3550,La mejor frase que he leído hoy. Otra vez enganchada a almudena.grandes . Otra vez con ganas de Dolores Ibárruri. Feliz día del libro. #diadellibro #leer #libros #almudenagrandes https://t.co/A8iJvWqthp,joy
3551,Me encantan las personas anónimas que empujan y construyen. #FridaysForFuture #GretaThunberg,joy
3552,USER Vas a caer pinche dictador de mierda #VenezuelaLibre,anger
3553,grande Barcelona! este resultado ya me deja más tranquilo! #ChampionsLeague #FCBLIV,joy
3554,"Incendio en la Catedral de Notre Dame de París. ""Es una tragedia a todos los niveles: arquitectónico, turístico, simbólico y también espiritual"" #NotreDame Pero nadie volvió tendencia cuando bombardearon #Siria masacrando a su pueblo! #15Abr #SemanaSantaSegura2019 https://t.co/AvEk4wGfnv",anger
3555,#ElecccionesGenerales28A lo dije y lo repito. Salga lo que salga es una puta mierda porque tenemos unos dirigentes mediocres. Vaya panorama.,anger
3556,Cómo un Ave Fénix renacerás de tus cenizas #Notredame ©️ 2016 #Paris #francia🇫🇷 https://t.co/9D32EihNnB,joy
3557,#NotreDame nunca llegue a visitar tan grandiosa construcción. Solo vista en imágenes y videos.. 😭,sadness
3558,¿Quieres saber un secreto? Lee sonrisas... #DiaDelLibro https://t.co/WPoFjOpheh,others
3559,USER Solo basto la entrada de Messi para que desequilibrar al Levante y así anotar el gol de la victoria que les da el campeonato de Liga 2018-2019! #Campions #LaLiga #VisçaBarça https://t.co/8p9h5owQND,joy
3560,"En un día como este... de la sangre derramada de un dragón malherido brotaron rosas rojas, un escritor de cuyo nombre la humanidad no quiere olvidarse tuvo santa sepultura y se celebra el #DíaDelLibro. Felicidades a aquellos que hallaron en los libros el mejor de los ejércitos 🙂 https://t.co/HYGCsPCPdN",joy
3561,"(Fra)Casado llorando junto a Rivera en el baño, ¿qué estarán haciendo? #EleccionesL6 #ElecccionesGenerales28A",others
3562,#VenezuelaLibre el ultimo empujón se hace con más fuerza 🇻🇪🇻🇪🇻🇪🇻🇪 #VenezuelaEstamosContigo 🇦🇷,others
3563,"Hay que tener el culo demasiado demacrado y ser muy imbécil, además de julandrón, o ser una bollera demasiado acomplejada para alegrarse por el incendio en Notre Dame. Independientemente de lo mal que te caiga José Manuel Soto, la iglesia o el Papa. Bobos. #NotreDameEnLlamas",anger
3564,Hoy es el #DiaDelLibro y vi a unos lateros recomendando libros como crítica a la razón pura poh,others
3565,Parece que lo hemos logrado! Pero a falta de terminar el escrutinio... demasiados escaños tienen los fascistas! Mañana y pasado y el otro tenemos que continuar la lucha! Fuera el fascismo de nuestras instituciones porque no es democrático!#ElecccionesGenerales28A,joy
3566,#FridaysForFuture ..estos niños tampoco van hoy al cole en Berlin. Todos esperando a #Gretathunberg que hablara delante de la #puertadebrandemburgo https://t.co/HoPtNV13dn,others
3567,USER USER USER USER urgen acciones contra masacre a personas en #Venezuela https://t.co/GpzPRHprmL,others
3568,Nominan a #GretaThunberg al Nobel de la Paz: https://t.co/KYxgIZX69D https://t.co/A0OmDLFB7A,others
3569,"Después de ver el tercer capítulo de #juegodetronos de la última temporada, solo puedo decir: Madre mía del amor hermoso... https://t.co/MAy8FRo9sK",joy
3570,USER USER USER 📞🎙📻 #Entrevista a Ronny Rodríguez Rosas Periodista venezolano de USER charlando en USER sobre las manifestaciones y la liberación de #LeopoldoLopez en #Venezuela con su posterior asilo en la embajada chilena. La nota 👇🏽 https://t.co/RH6dAkEUEF,others
3571,¡Ultimo capítulo de Juego de Tronos es brutal! #JuegodeTronos #GameOfThrones 🖤🖤🖤💙❤,joy
3572,"Entre toda la avalancha de 📚 a lo largo del día de hoy, ésta 👇 la mejor recomendación, sin duda. Caralho, USER 🔝😂 #DíaDelLibro https://t.co/0ofr96hycX",others
3573,"EMERGENCIA CLIMÁTICA! El viernes se va a celebrar la huelga por el clima #15march #climatechangenow #climatechange ##fridaysforfuture #gretathunberg en Madrid, Spain https://t.co/DDpxbW6g64",others
3574,Cuánta tristeza da perder tanta historia #NotreDame https://t.co/gwau30Z7sD,sadness
3575,"Qué engañados nos tuvo Ciudadanos al principio, no solo por sus licencias de VTC, que rompen España de verdad #ElecccionesGenerales28A",anger
3576,El feminismo inmerso en una vorágine intentando demostrar que feminismo=igualdad y llega USER y suelta que los hombre no podemos hablar de feminismo #ElDebateDecisivo #EleccionesGenerales2019 #DiaDelLibro #DiadeCastillayLeon #DiaDeAragon https://t.co/AMme85W3Md,anger
3577,"Es que, que HOSTIÓN se ha pegado el PP estoy tan FELIZ. Ha perdido más escaños de los que tiene ahora mismo. #ElecccionesGenerales28A https://t.co/n0Vo9Nq9ZC",joy
3578,El #AthleticClub se está mostrando muy seguro en San Mamés en este 2019. ¿Ganará al #Alaves? #apuestas #AthleticAlaves #laliga https://t.co/CCcBtUPJ3E,others
3579,"No puedo creerlo aún, que dolor ver estas imágenes , no puede ser , que triste 😭😭😭😭😭 #NotreDame",sadness
3580,Regalemos mil libros y leamos mil rosas. 😍 Cuatro de nuestras chicas disfrutan la magia de #SantJordi en esta noche del #DiaDelLibro. ¿Quién es quién? #AdivinaAdivinanza ☺ https://t.co/94QIbvvlyH,joy
3581,Hoy tarde de oraciones. Pido por todos mis amigos venezolanos que hoy sufren la opresión a fin de que llegue pronto una #VenezuelaLibre sin violencia. https://t.co/C3GAUJ7U3a,sadness
3582,A propósito del #DiaDelLibro podrían dar vuelta a la página con el tema de USER /un poco difícil si USER sigue y suma a la estupidez de los intolerables,others
3583,Exigimos a USER un plan urgente contra el CambioClimático https://t.co/oJuQnXUJhs #IniciativaVerde #AndalucíaDiceNoAlCalentamiento #GretaThunberg #Ecología #ecologismo #GenZ #FFF #Strike4Climate #JóvenesPorElClima #emergenciaclimática cc USER https://t.co/kJBgcJvoBM,others
3584,#Venezuela: Trump amenaza a Cuba con ?embargo total? si continua apoyando a Venezuela.. https://t.co/vc4zOGqfnv,others
3585,"Otro año ganando un equipo español, la puta madre #ChampionsLeague",anger
3586,USER #JuegoDeTronos es una piltrafilla de serie comparado con #JuegoDeNiños,others
3587,"Yo no entiendo mucho de juego de tronos.... Pero que se hayan cargado al enano, es malo, no????? #JuegodeTronos #GameofThrones",others
3588,Sigo teniendo esperanzas de que sea Gilly. ¿Qué pasa? ¿No es lo suficientemente guapa para el Trono de Hierro? #JuegoDeTronos #VivePoniente https://t.co/jpHQzE3D0Z,others
3589,La inacción en el cambio climático el mayor fracaso de la historia' Greta Thunberg. #GretaThunberg #climatechange #inaccion https://t.co/BUAF0n4pha,others
3590,"No hay nada más que añadir. España se ha movilizado y ha dicho NO al trifarchito. Porque somos un país progresista, libre y democrático. #ElecccionesGenerales28A #28a https://t.co/3xGlPj9W9v",joy
3591,#ChampionsLeague | ¡Leyenda Messi! 600 goles de Leo con la camiseta del Barcelona. ➡️ https://t.co/tXwv52jw8b #Messi #Barcelona #LionelMessi #Lionel https://t.co/lx9d13pvrI,joy
3592,Dos millones y medio votando a Vox... pues a lo mejor si que necesitamos una reforma en la ley de educación... #ElecccionesGenerales28A #Elecciones2019,disgust
3593,"Una catedral. Es una puta catedral. Piedras. ¿Qué vais a dejar para cuando un día la gente se muera ahogada en el mediterráneo, o se suicide porque les quita la casa un fondo buitre? #NotreDame",anger
3594,🙏 un billonario donará 100 millones de € para restaurar #notredame. Qué maravilla que existan seres de luz entre tanta oscuridad ! https://t.co/bJpmIRG3ms,joy
3595,"La verda simplemente esto me me confirma lo que siempre creí los #EEUU y su presidente USER le tienen terror a los rusos, esperemos no dejen colgado a USER y a toda #Venezuela. USER USER https://t.co/ZuGvrunpy7",others
3596,Llegó montado en un #DeLorean y me ha entregado este paquete como regalo para #DíaDelLibro #SanJorge2019 ... qué será? USER #HobbyPress #Nostalgia #retrogaming #90s https://t.co/FkOlgqGVSX,surprise
3597,Huelga Internacional Contra el Cambio Climático 15 de Marzo. Rebélate contra la extinción de especies y la crisis ecológica Madrid: Manifestación desde Sol hasta el Congreso de los Diputados (12.00h) #Fridaysforfuture #Madridseune #Strike4Climate #GretaThunberg #NobelPeacePrize https://t.co/KKxC153GUQ,others
3598,Quiere alguien pensar en quasimodo #NotreDame https://t.co/Mrs5ZMsgW3,others
3599,"Caben mil mundos en un libro, así como historias en una copa de vino, en una taza de café o en tu infinita sonrisa. #DíaDelLibro",others
3600,Estos dos actores de #JuegoDeTronos son familia en la vida real https://t.co/PWuFa4VYo4,others
3601,¡Qué chévere! USER también celebra el #DíaDelLibro poniendo a leer a sus ciudadanos. ¿Dónde más lo están haciendo? Repliquemos estas noticias tan lindas. https://t.co/bEnltPsLbb,joy
3602,FINAL 🏆 El Barça gana al Levante con un gol de Leo Messi y ya es CAMPEÓN DE LIGA 2018/19. ¡¡¡Felicidades al USER y a todos sus aficionados!!! 👏👏👏https://t.co/6mY4yOpBVQ #LaLiga #BarçaLevante https://t.co/WbFbAWg3i6,joy
3603,"Nací en un hogar cristiano y desde pequeño me mostraron que la #Biblia es un libro que entrega valores y principios a todos nosotros. ""Toda Escritura es inspirada por[a] Dios y útil para enseñar, para reprender, para corregir, para instruir en justicia"" #DiaDelLibro https://t.co/uOv38AMUqd",others
3604,La gran ventaja de que #JuegoDeTronos mate a sus protagonistas desde su 1a temporada es que genera tensión en el espectador. Solo así se puede sorprender y crear episodios como el 8x03 #TheLongnight: BRUTAL,surprise
3605,Una autentica pena y tragedia el incendio de #NotreDame ...una puta pena.,sadness
3606,800 años de historia son consumidos por las llamas en #NotreDame y así se pierde un ícono de la arquitectura y del patrimonio cultural del mundo.,others
3607,"""Antes de ser presidente hay que sufrir y aprender. Si no, se sufre y se aprende en la Presidencia a costa de un país"" #DiaDelLibro",others
3608,"No me lo puedo creer, meterme a internet y primer SPOILER. PORQUE??? Voy a tener que estar incomunicada para no enterarme del capítulo entero hasta que pueda verlo. #JuegodeTronos #BattleOfWinterfell https://t.co/uYeuThx6GL",anger
3609,¡Marcad otro para tranquilizarme joder! #Barça #BarcellonaLiverpool #ChampionsLeague,anger
3610,"""Si quieres hacer un regalo que perdure: Regala un libro, estarás regalando un tesoro muy valioso 🎉🤗#DíaDelLibro",others
3611,En el marco de la huelga escolar por el clima #GlobalClimateStrike se han convocado ya cerca de mil eventos en 82 países... Y siguen sumándose más #FridaysForFuture #ClimateStrike #GretaThunberg https://t.co/mfADenXeNg,others
3612,Esa maldita maña del fútbol de no recompensar al que juega mejor. #UCL #ChampionsLeague #CHAMPIONSxESPN,anger
3613,USER Muchas gracias Sr Fernando por ayudarlo... #VenezuelaLibre,others
3614,Estoy leyendo ahora A beautiful mind. Qué leéis vosotros? #DiadelLibro,others
3615,El puto amo Leo Messi #Messi 600 goles #ChampionsLeague https://t.co/TVK0adBhNW,joy
3616,Por favor silencio se juega la #ChampionsLeague,others
3617,"USER Rosa FraCasada Díaz, ¡saca los tanques, coño! 😂😂😂😂😂😂😂😂 #FachasOut #ElecccionesGenerales28A",others
3618,Es el momento perfecto para desconectar tras terminar este canuto antes de que Twitter empiece a llenarse de spoilers del nuevo capítulo de #JuegodeTronos #BattleofWinterfell,others
3619,"Disfrutando con la sede del USER vacía. Los pocos que han votado estarán con los de V🤢x, para disimular. #ElecccionesGenerales28A https://t.co/hKS508TPGd",others
3620,es aterrador lo que esta pasando en #Venezuela se desato una guerra civil,fear
3621,El 8x03 de #JuegodeTronos es en 3 palabras: ÉPICO. MAGESTUOSO. TERRORÍFICO. Una película de 78 minutos llena de silencios y ruidos que hacen que no pestañees en muchos momentos.,surprise
