id,texto,emocion_original,grupo,estudiante
58,"🇻🇪 Imágenes terribles desde #Venezuela. La violencia no debe ganar, espero que se encuentra una solución política. Schreckliche Bilder aus Venezuela. Die Gewalt darf nicht siegen, ich hoffe das eine politische Lösung gefunden wird. 🕊️ #PrayForVenezuela #OraPorVenezuela https://t.co/EbmsUumltq",sadness,A,2
59,Feliz día del libro y acceso al conocimiento! Hoy festejamos con epub e impresos nuevos en la ofi... #DiaDelLibro https://t.co/9O0Ib0tN2i,others,A,2
60,"43,34 €/MWh #porrapool chavales #lameto ahora por el bien de la comunidad #marotingpeople USER si no me cuenta me das tus puntos #cayerojo #venezuelalibre",others,A,2
61,USER USER USER USER que poca vergüenza tienen los árbitros de #laliga #LaLigaSantander las mismas manos q le pitaron en contra al USER se la niegan ahora al USER #corruptos,anger,A,2
62,¿Saben quien en Mexico va a apoyar la huelga global por el clima? #GlobalStrikeForClimate el próximo viernes 15 de marzo. #GretaThunberg https://t.co/zWqUFddIrp,others,A,2
63,"No puede ser más espectacular! Mi nota 9,9/10 #JuegodeTronos #juegodetronos8x03 #NotToday #GameOfThrones",joy,A,2
64,"Tenemos a los mejores especialistas para resolver dudas en los juegos Fantasy, preguntanos ¡Te ayudaremos a tomar esas últimas decisiones! #Biwenger #Comunio #Futmondo #Laliga #guiafantasy #consultas",others,A,2
65,Puto amo! #messi #visçaElBarca por la Copa #ChampionsLeague 🤗,joy,A,2
66,"Quiero que empiece ya el escrutinio, estoy nerviosa #ElecccionesGenerales28A #28A",others,A,2
67,Felicidad que bonito nombre tienes!! #BarcaLiverpool #ChampionsLeague #ViscaBarça USER,joy,A,2
68,"Si la gente se centrará en mejorar ""España"" en ves de estar que si derechas e izquierdas, nos iría mucho mejor!! Mirad a lo que nos den, no de qué lado viene , si lo que va a hacer es mejorar nuestro país 🇪🇸¡OLÉ! #28DeAbril #ElecccionesGenerales28A #EspañaViva #EspañaDecide",joy,A,2
69,Fuerza #Venezuela !!! Dios los libre de una vez de tanta tiranía!,anger,A,2
70,"Sobrevivió la revolución francesa, dos guerras mundiales... cuánta tristeza! #NotreDame https://t.co/7BotU925vn",sadness,A,2
71,DAVOS POR EL AMOR DE DIOS DEJA DE QUEDARTE MIRANDO A LA GENTE #JuegodeTronos,others,A,2
72,El CAMBIO CLIMÁTICO en España en 3 minutos #CadizPorElClima #FridaysForFutureCadiz #FridaysForFuture #JuventudPorElClima #ClimateChange #CambioClimatico #GretaThunberg #ClimateStrike #HuelgaClimatica #CalentamientoGlobal #GlobalWarming https://t.co/UZsI95sQHW,others,A,2
73,"Klopp diciendo que el mejor era Pelé, 😂😂😂😂 Toma Pelé!!! #championsleague",joy,A,2
74,Me estoy perdiendo las semifinales de la #ChampionsLeague por estar haciendo otras cosas en otro lugar.. no sé reír o llorar.. https://t.co/5cI3h3gG1n,others,A,2
75,"Que te dediquen una canción, gusta, pero que te dediquen un libro, enamora. Feliz #DíaDelLibro",joy,A,2
76,JAJAJAJJAJA Herrera igual a resentido máximo 😂😂😂 #Herreraenlacope #COPE #ElecccionesGenerales28A #EleccionesGenerales,joy,A,2
77,La señora de V🤮X me da un miedo... #ElecccionesGenerales28A,fear,A,2
78,Disfrutando de una (fría) noche de Champions. #Barça #Liverpool #ChampionsLeague https://t.co/YnT55obB58,joy,A,2
79,"#Venezuela | Desde el centro de Caracas, a las afueras del Palacio de Miraflores, miles de personas están reunidas expresando su apoyo al Gobierno Bolivariano, así como a la defensa de la soberanía, democracia y autodeterminación. https://t.co/Jpw7rvscdc",others,A,2
80,Vive la pasión de cada gol con nosotros y celebra el #DiaDelTrabajador en el #hotelbrisas 📣⚽️😎#ChampionsLeague #1deMayo https://t.co/IyPH63jJvd,joy,A,2
81,"ablación...; por los miles de gente que se ahoga en nuestras costas... que ver arder una Catedral, símbolo misógino, de poder y oscurantismo, de pedofilia, de mercantilización de creencias, etc. Qué quede bien claro #NotreDame #JuevesFeministas #EstoySicologicamenteHastaElCoño https://t.co/HV5dyIVUyf",anger,A,2
82,"#Venezuela. Los ""analistólogos"" de algunos medios deberían entender que #NicolásMaduro y el régimen chavista en general sólo podrían ser removidos militarmente, sin intervención foránea, si la oposición tuviera la suficiente masa crítica militar operativa. Hoy no la tuvo... https://t.co/ggsWLRshM3",others,A,2
83,Mi Venezuela 💛💙💓 vibras en mi corazón. #venezuelalibre #cesedeursurpacion https://t.co/r8HekR8QBA,joy,A,2
84,Cuantos ataques de ansiedad tuve durante este episodio: #JuegoDeTronos https://t.co/aCIt3o9DKf,others,A,2
85,Pedri USER recuerda quienes no te quisieron por campaña y quienes sí ❤️💜 #ElecccionesGenerales28A,others,A,2
86,No puedo creer que festejan que se incendia #NotreDame https://t.co/e7NDVvJFYi,surprise,A,2
87,"No puedo estar pasando esto, no puede ser, esto no es real joder #JuegodeTronos",surprise,A,2
88,Venezuela debe ser libre. Guaidó es el elegido #Venezuela,others,A,2
89,No hay Golpe de Estado en #Venezuela: Reinaldo Díaz https://t.co/MHFmCThMz9 https://t.co/m9S0OpQaDG,others,A,2
90,Entre los Vengadores #Endgame y el capítulo 3 de #JuegoDeTronos a mi me va a dar una arritmia #realquesí,others,A,2
91,Mañana es #viérnes y continuaremos con nuestras actividades de apoyo a #FridaysForFuture. A las 12:30 horas bailaremos por el planeta con la canción del autor Roberto Carlos: El Progreso. Traer vuestras mochilas!! #changeClimate #GretaThunberg #SchoolStrikeForClimate https://t.co/88P4gThRX9,joy,A,2
92,"Muy chevere y todo pero ese no debía ser el final para el rey de la noche. merecía más, muchísimo más #GOTS8E3 #GamefThrones #GOT #GoTS8 #JuegodeTronos",sadness,A,2
93,"⚽️¡BARCELONA BICAMPEÓN! Con un gol de #Messi que ingresó en el segundo tiempo, el ""blaugrana"" venció 1-0 a #Levante y se coronó en #LaLiga #Espana https://t.co/oalqi2awf2 vía USER https://t.co/sRz5FwoRh7",others,A,2
94,USER USER Tira pues un comentario épico Santi😁 #JuegodeTronos,others,A,2
95,La verdad Theon es uno de los personajes que más me sorprendió. Se ganó mi odio y luego todo mi amor. #JuegodeTronos #GameofThones #GOT #Theon https://t.co/MxMMr5Bd4V,joy,A,2
96,Fue Una Linda Tarde De #ChampionsLeague 👐⚽,joy,A,2
97,Nervios y ansiedad a ¡FULL! YA QUE EMPIECE EL PARTIDO. #ChampionsLeague #YNWA 🔴,joy,A,2
98,que buen arquero es ter steguen #CHAMPIONSxESPN #ChampionsLeague,joy,A,2
99,Lo que me pasó ahí dentro con Nuestra Señora de Guadalupe el día que mi papá cumplió 1 año de haberse ido al cielo... eso es indescriptible!!! #NotreDame 🙏🏼☹️ https://t.co/LWImUWIuvE,joy,A,2
100,"Mi rutina de los lunes ahora incluye ver el capítulo de #JuegodeTronos a las 16:30 y pasarme las siguientes 4 horas en el sofá entre la reflexión, la catatonia y la sobreanalización de TODO con mi consejo de sabias ( USER USER USER ) #GameofThrones",others,A,2
101,"⛪ La catedral estuvo a media hora de venirse abajo completamente. El daño en Notre Dame es irreparable. Nos adentramos en el templo tras el incendio, en #Noticias1A3N #NotreDameEnLlamas https://t.co/VXUwkzGTdc https://t.co/SUxiHfvfyT",sadness,A,3
102,PALABRAS DE UNO DE LOS MANIFESTANTES ATROPELLADO POR RÉGIMEN DE MADURO 🤬🤬🤬🤬#venezuela #venezuelalibre #venezuela🇻🇪 #lifequotes #life https://t.co/TwoisthjmS,others,A,3
103,"La comunidad internacional tiene la responsabilidad con el pueblo de #Venezuela de evitar un derramamiento de sangre de niveles desproporcionados. Esto no es un asunto de diplomacia o política, sino de humanidad, de misericordia con la vida. Metanse sus comunicados por el...",anger,A,3
104,Incendio en #NotreDame https://t.co/jWoHZINpeb tesoros de valor incalculable que alberga https://t.co/cPYM9OanqR la catedral #paris BBC News Mundo https://t.co/302fG1Zx31,others,A,3
105,"Maldito macrismo, a éste muchacho que apoya a Maduro, los milicos le tiraron un tiro en la oreja y no mandan ambulancia #Venezuela #VenezuelaSeRespeta https://t.co/CpEouDBWLc",anger,A,3
106,"Leer quizás no te haga mas inteligente, pero te hará pensar, y el pensar te hace libre. #DiaDelLibro",joy,A,3
107,"Por más eventos así. Gracias, USER y sus aliados. A USER por todo el apoyo prestado para celebrar en Caracas este #DiaDelLibro. https://t.co/i0HVbrKIC7",joy,A,3
108,"que pata sucia que es el barcelona, pero como ellos son los niños buenos de la pelicula, se las perdonan todas #CHAMPIONSxESPN #VidalEnADN #ChampionsxFOX #ChampionsLeague",disgust,A,3
109,#MVPDaenerys La mejor de #JuegoDeTronos en USER es Daenerys. Por su sentido de la justicia y sus dragones. https://t.co/borZVkjf2m,others,A,3
110,"Desde ayer por la noche sin entrar a Twitter, Facebook o Instagram para no comerme ningún spoiler de #JuegoDeTronos. Ver el capítulo y pensar q la batalla no está mal... pero que la Batalla de los Bastardos está muuuuucho mejor. Y pensar también en que las bajas podían ser peor.",others,A,3
111,"Gracias al Depósito Documental #AndrésFernández USER podré tener acceso a libros,Tesis Doctorales de compañeras doctoras necesarias para el desarrollo de mi estudio doctoral. En #DiaDelLibro doy las gracias por dar visibilidad a la investigación enfermera📚 USER https://t.co/03J1F3KqHy",joy,A,3
112,Esta chica lo mínimo que se merece es el trono de hierro ¿Estamos de acuerdo? Estamos de acuerdo. #GameofThrones #JuegodeTronos #GamefThrones 🙅🏻⚔️🔥👑 https://t.co/O9c1wSDl5o,others,A,3
113,"Publico en mi blog el artículo: ""El grito valiente de #GretaThunberg "", una reflexión con motivo del XIV Seminario Internacional Comarcas Sostenibles que ayer y hoy se celebra en el teatro Víctor Jara. #CambioClimático https://t.co/YKbXK4n10Y https://t.co/2L4K4Mxlwj",others,A,3
114,"Valiente pueblo francés, lamentamos lo ocurrido en la catedral de #NotreDame, patrimonio del mundo cristiano católico; Honduras se solidariza con ustedes por la lamentable pérdida y se une a la reflexión en esta Semana Santa.",sadness,A,3
115,Messi es el mejor de la historia porque no deja morir el futbol. No lo pienso discutir #ChampionsLeague,joy,A,3
116,¿Ha sobrevivido FANTASMA a la Batalla de Invernalia? #JuegoDeTronos https://t.co/QQAjHmMYiV https://t.co/iamQGmm3OE,surprise,A,3
117,"Sí Jose, estoy impresionada. Impresionada de cómo hemos luchado contra la extrema derecha y de cómo NO HABÉIS GANADO. #ElecccionesGenerales28A #28A https://t.co/BRe3tYdJbu",others,A,3
118,Buenas noches y que tengan rojos sueños¡ #ElecccionesGenerales28A,others,A,3
119,La izquierda colombiana pretende convencernos de que las triquiñuelas procedimentales del Senado son más sucias que su complicidad con los veinte años de tiranía del chavismo USER #VenezuelaLibre,anger,A,3
120,USER Muy bien por el planteamiento vs tigres y que chingue a su madre el Tuca. #estadiocuahutemoc #LaLiga #LaFranjaQueNosUne #Franja #Puebla #Tigres,others,A,3
121,#ElecccionesGenerales28A Este país se va a la mierda😭,anger,A,3
122,"Feliz día del libro, y sean todos bienvenidos porque hay para todos los gustos. Siempre lleven un libro con ustedes.. #díadellibro https://t.co/FGjcnnSsJl",joy,A,3
123,Apoyando a los jóvenes a reaccionar. Contra el cambio climático #globalstrikeforfuture #CambioClimatico #pucon #MedioAmbiente #Puconverde #GretaThunberg #keiro #defendamoselmedioambiente #Ecologia https://t.co/WRBP36wXDY,joy,A,3
124,"No soy católica, no voy a la Iglesia, y la religión es algo que la verdad me interesa poco y nada.. Pero de ahí a festejar el incendio de #NotreDame? No",anger,A,3
125,"La sexta, tu televisión de izquierdas, retransmitiendo el discurso de principio a fin de la ultraderecha. Escoria!! #Elecciones2019 #ElecccionesGenerales28A #EleccionesL6",anger,A,3
126,yo living viendo que la derecha está perdiendo #EleccionesGenerales28Abril #Elecciones2019 #EleccionesL6 #ElecccionesGenerales28A https://t.co/RQqd0BHTxe,joy,A,3
127,Seguro que USER volvería a repetir esto hoy #ElecccionesGenerales28A https://t.co/3ogSkwvlqL,others,A,3
128,El golpe de Estado en #Venezuela está más lejos que el final de Elif. #VenezuelaEnBatallaYVictoria #VenezuelaNoSeRinde #VenezuelaHoy,others,A,3
129,"#GretaThunberg y las huelgas escolares contra el cambio climático: ""Mi asperger me ayuda a no creer en mentiras"" https://t.co/YziaPg2oqT",others,A,3
130,"Orgullo de un país plural, gracias España 💜💜💜 #ElecccionesGenerales28A #28DeAbril #Elecciones2019",joy,A,3
131,#ChampionsLeague Solo el hace estas cosas. GOL DE #MESSI #Barcelona 3 #liverpool 0 https://t.co/yT6BMx04o7,joy,A,3
132,"Antes, todos los conservadores estaban disueltos en el USER Ahora, simplemente, están identificados. Los de Voks son los fascistas que ha habido siempre en #España, nada más. Y son eso, cuatro ridículos homínidos. ¡¡¡ESPAÑA ES ROJA!!! #NoHanPasado #ElecccionesGenerales28A",anger,A,3
133,Aquí tenéis nuestra crítica y análisis del tercer episodio de la octava temporada de Juego de Tronos: #GameOfThrones #JuegoDeTronos #GoT8x03 #VivePoniente #JuegoDeTronos8x03 https://t.co/FdLObHBKz9,others,A,3
134,Ya instalados a punto de ver el USER vs USER 👏😎 #ChampionsLeague,others,A,3
135,Hp me va a dar algo !!! #JuegoDeTronos,others,A,3
136,Entonces perdimos a Ghost también no!? 😭😭😭😭 #GameofThrones #JuegodeTronos Como dueles #GOT8,sadness,A,3
137,Estaba acojonado con las elecciones y no había ni empezado a pensar en #JuegoDeTronos Con ganas ahora de que llegue mañana por la noche para ver el capítulo después del curro. #ElecccionesGenerales28A,joy,A,3
138,Dios! Esos gritos de desesperacion. La piel de gallina #JuegodeTronos #GameofThrones,surprise,A,3
139,"Con doblete de #Messi y un gol de Suárez, el #FCBarcelona triunfó 3x0 ante el #Liverpool por la semifinal de ida de la #ChampionsLeague. https://t.co/2mf3lYNtxH",others,A,3
140,"Gracias vox, tu aparición si ha servido para algo. #ElecccionesGenerales28A",others,A,3
141,"Estamos en crisis en la Argentina. Vivimos así. Muchas personas pasandola verdaderamente muy mal. Sin discusión. Mientras tanto: la mayor crisis planetaria jamás, porque sólo hablamos de lo primero con ojeras de grieta. Incesantemente. Incansablemente. #GretaThunberg https://t.co/kp5WIcflQy",sadness,A,3
142,#LaLiga⚽️🇪🇸 USER 1-0 USER ¡TRIUNFO sufrido de los colchoneros que siguen con vida en la lucha por el título! Aquí las mejores acciones: https://t.co/jGPMoRb7rZ https://t.co/mcBn7t5z42,joy,A,3
143,USER Vergüenza ajena! Perdón venezolanos. La mayoría de los argentinos estamos con Uds. #VenezuelaLibre,others,A,3
144,"USER Cada vez que les da la gana de usarlas las usan... Asi que, cuál es la diferencia ahora? Hasta el más robusto tiene su punto débil #VenezuelaLibre",anger,A,3
145,USER lista para ver ganar al #Liverpool ??😋🤣🤣 #ChampionsLeague,others,A,3
146,Cuando enciendan las luces estarán todos dormidos. #ForçaBarça #LaLiga,others,A,3
147,#DíaDelLibro Estoy feliz de haber retomado mi hábito de lectura este 2019!!! Llevo 10 libros!!! USER,joy,A,3
148,NO QUIERO HACER SPOILERS PERO ES QUE PERO ES QUE PERO ES QUE JODER QUÉ MUJER #JuegodeTronos,joy,A,3
149,No estoy para nadie... solo para ver #JuegodeTronos #GOT Que empiece la batalla contra el #NightKing En primera fila por USER #siguemeytesigo #DomingoDeGanarSeguidores #GameofThrones,others,A,3
150,USER Busquen más fotos viejas rápido rápido #ElPuebloEnMirafloresConMaduro #Venezuela #30Abr,others,A,3
151,Me encanta ver este tipo de murales 😊📚 #DiaDelLibro https://t.co/h24tbSDzdP,joy,A,4
152,Ayer q fuimos un ratito en el yate a ver a #DaenerysTargaryen #juegodetronos #gamesoftrones #family https://t.co/wocw41qpjI,joy,A,4
153,Veo llorar a muchos salvadoreños por la pérdida cultural perdida por #NotreDame pero no los veo llorar por: -Embajada americana construida encima de un vestigio de San Salvador. - construcción de colonia en Sonsonate y nadie dice nada. - pérdidas y robos coloniales en Metapan..,sadness,A,4
154,"#Futbol ⚽️ #ChampionsLeague] En la primer Semifinal de la #Champions, el #Ajax venció 1-0 al #Tottenham y coquetea con la Final https://t.co/ccNtjTotFp",others,A,4
155,Que bien que anda el del 5to puesto en el balon de oro! #messi #barcelona #liverpool #ChampionsLeague,others,A,4
156,"Esto es el chavismo. Impresionante documental. Aviso, hay imágenes muy duras. Ánimo, #Venezuela https://t.co/AzaGMhTTk0",surprise,A,4
157,Lo que les gusta a los socialistas un cántico #ElecccionesGenerales28A,others,A,4
158,"USER No depende de el. El PSOE no es libre, debe muchos favores a banca y eléctricas y en sus filas sigue habiendo muchos de la vieja escuela. Te aseguro que todos esos van a presionar para un pacto con CIUDADANOS #EleccionesL6 #ElecccionesGenerales28A",others,A,4
159,Este es el hoy y el futuro! Los jóvenes 💙 #cambioclimático #GretaThunberg 💙👇 Una adolescente lidera la lucha por el medio ambiente en el corazón de Europa | Internacional | Noticias | El Universo https://t.co/KaWeaTVX0t,joy,A,4
160,"Entre esto, lo de Nacho Duato y los nervios de la tarde electoral... q nudo en el estómago 😬😬😬 #ElecccionesGenerales28A https://t.co/4rYhdkPrms",fear,A,4
161,El 8x03 de Juego de Tronos es sencillamente espectacular ⚔️❄️🌫😱 #JuegoDeTronos #juegodetronos8x03 #Got8x03 #GameofThrones #ForTheThrone #BattleForWinterfell #HBO #HBOEspana,joy,A,4
162,Resumen y crónica del 8x03 de Juego de tronos: ‘La larga noche’ #JuegodeTronos #GameofThrones #NotToday https://t.co/iK4aZ2VDHd USER,others,A,4
163,"USER Muy amable al seguir mis opiniones en las redes por una #VenezuelaLibre , no me siguen comunistas, cuerdas flojas ni Arrodilla'os!.",others,A,4
164,"Ayer se quema la catedral de #NotreDame y hoy llega la media luna roja a #Venezuela,Adiós Occidente",others,A,4
165,"Otra vez el #Barcelona campeón de #LaLiga y una vez más, por escándalo, #Messi no sólo es la figura, es más que eso: es el faro que todo lo ilumina. Si está en campo, pueden pasar cosas buenas. Entró y sentenció la historia. Ahora, apunta con todo a la #Champions",joy,A,4
166,#Libros. Amigos fieles. Siempre atentos a mis estados de ánimo. Siempre pendientes de mis inquietudes. Siempre disponibles para saciar mis ansias. Siempre dispuestos a abrir sus páginas y ofrecerme su consuelo... #DíaDelLibro https://t.co/88EsZGTjjG,joy,A,4
167,Que maravilloso es el fútbol 2 - 0 ganando #Barcelona contra un #Liverpool aguerrido que todo lo esta haciendo bien 👏🏆 #ChampionsLeague,others,A,4
168,"Zidane habló esta mañana en rueda de prensa, previo al duelo entre USER y USER , Jornada 35 de USER . La lesión de USER y la vuelta de USER ⚽️🚨 #LaLiga #RayoRealMadrid #CiudadRealMadrid #Madrid https://t.co/LI4iQqKbnE",others,A,4
