id,texto,emocion,grupo,estudiante
623,"Tragedia en #NotreDame #Paris Una gran perdida del patrimonio cultural de la humanidad. Acá imágenes de su interior, maqueta que muestran proceso de construcción y placa que recuerda su construcción, año 1.163. Increíble!!!!! que pena...... USER USER https://t.co/vAKpX1AFJ7",surprise,D,1
624,#ElecccionesGenerales28A #EleccionesRTVE Un verdadero honor y un verdadero privilegio poder haber vivido desde Torrespaña esta noche electoral trascendental para nuestro país.,joy,D,1
625,🔴🔵 Campeón fcbarcelona de #laliga 2018/19 🔵🔴 gracias por alegría ⚽🏆 #messi #campeon #fcbarcelona #barça #gracias #vamosbarcelona #barcelona #lionelmessi10 #dalecampeon en Remedios De… https://t.co/IKZG2ZaeQo,joy,D,1
626,USER un 30 de abril Adolf Hitler se pegó un tiró... Podrías hacer lo mismo? Dignidad! #Venezuela,anger,D,1
627,De a poco van apareciendo las voces que necesitamos la voz del pueblo la voz de la juventud y no solo en Argentina y son mujeres #Gretathunberg https://t.co/eTBKdT9JUu,joy,D,1
628,Que angustia la misma sensación cuando estábamos viendo la baranda CNE la siento ahora #venezuela,fear,D,1
629,"#ElecccionesGenerales28A que asco da oirlos por favor , que le cierren el micrófono asco dan, vamos que nos darán una patada a todos cerraran tvs,y las mujeres a fregar digo lo de siempre : los votantes de esta gente teneis la culpa",disgust,D,1
630,"USER si echas de menos los atascos en lugar de ir a Génova, que no hay ni pájaros, intenta llegar a Ferraz. De nada. #ElecccionesGenerales28A #28AVotaEnDefensaPropia #28APSOE",anger,D,1
631,"Mucha fuerza a mis amigos venezolanos, a sus familiares y a todo el pueblo de #Venezuela. Es un día histórico, se ha desatado una tormenta tras la que vendrá después la calma. Estamos con ustedes.",joy,D,1
632,¿Quién les iba a decir a los #bomberos de #París que se enfrentarían a este incendio? Gracias USER por luchar contra las llamas y evitar una tragedia mayor. ❤🇫🇷❤ #NotreDame #euronews #Europa https://t.co/dNsUuDzio4,sadness,D,1
633,"Ya esta hablando vox de la derechita cobarde, ahora lo valiente es ser un bocazas y un mamarracho #ElecccionesGenerales28A",disgust,D,1
634,¿Por que no lloraron tanto cuando se quemó el Chedraui de mina? #NotreDameEnLlamas,anger,D,1
635,"Un terrible incidente el fuego devastó a la catedral de Notre Dame, símbolo de la capital francesa, Patrimonio Mundial de la Unesco y uno de los monumentos más visitados del mundo #NotreDame #París #Francia #15abr https://t.co/QpSdIEOjGQ",sadness,D,1
636,"Todo el mundo se lamenta por el #NotreDame y esta bien, es una lastima la perdida de esa obra arquitectonica... ahora podemos lamentarnos por el #SOSBosawas su sobrevivencia nos garantiza aire limpio 😭😭😭",joy,D,1
637,"#ElecccionesGenerales28A qué putada para medios y trolls fascistas, matarse a meter mierda, mentir y dividir España para PERDER y aupar a la extrema derecha",anger,D,1
638,"Brava, Brava, Brava ... tú podías volar y te has quedado posadita en el suelo como si montases una gallina. Supuestamente no te quemas y no te sirvió de nada. Ni te has esforzado en aprender a usar un arma. Tanto poder y tan desperdiciado... TU NO. #juegodetronos #GameofThrones https://t.co/6kyUAOjmzY",anger,D,1
639,Esto se definió desde ya... #ChampionsLeague,anger,D,1
640,Solo se puede decir INCREÍBLE E HISTÓRICA. #JuegodeTronos #temporada8 #Capitulo3,joy,D,1
641,Envidia y respeto absoluto al País Vasco 💛💜❤️#ElecccionesGenerales28A,,joy,D,1
642,Pero quien te ha insultado a ti tontopolla #ElecccionesGenerales28A,anger,D,1
643,Y dicen que Messi no aparece... #ChampionsLeague,joy,D,1
644,#ChampionsLeague Barcelona - Liverpool 0-0: ¡máxima emoción! https://es.uefa.comhttps://es.uefa.com/uefachampionsleague/season=2019/matches/round=2000983/match=2027157/?iv=true&amp;rss=2600134+Barcelona+-+Liverpool+0-0:+¡máxima+emoción!,joy,D,1
645,Independientemente de la ideología o las preferencias... #FuerzaVenezuela #VenezuelaLibre 🙌 lo que libre signifique para cada venezolano y que así sea. 🇻🇪,joy,D,1
646,Mi madre sufre por el daño de la Catedral...y la transita de nuevo...y no puede creer semejante pérdida... Y yo vuelvo a sentir el placer de esos regalos que son eternos 😍! #NotreDame #lotraigocuantasvecesquiera,joy,D,1
647,No está todo perdido. Aún hay esperanza. #GretaThunberg 🌍 https://t.co/ZRVE5wtunb,joy,D,1
648,Messi es un auténtico francotirador que gola o #ChampionsLeague,joy,D,1
649,"Vaya mezcla asquerosa. Que los cojan y no vean más la luz. Ah, no. Que lo de la #PrisiónPermanenteRevisable no la quieren los progres. #ElecccionesGenerales28A https://t.co/FuT4iLfFWR",disgust,D,1
650,Incendio en la catedral de Notre Dame: la historia arde en #París 🇫🇷😞 Toda nuestra fuerza. #NotreDame #NotreDameCathedral https://t.co/GcUFFHj3v7,sadness,D,1
651,"Aquí mi foto a las afueras de la catedral de #NotreDame hace unos meses, los envidiosos dirán que estoy en León Guanajuato. https://t.co/KyZDudIkqb",,D,2
652,Un saludo a todos aquellos que no sabían que la Catedral de #NotreDame era un templo cristiano. Y que van a recontruir un templo cristiano.,,D,2
653,"Dice Bolton que lo de #Venezuela no fue un golpe de estado, tiene razón, fue otro intento fallido, #VenezuelaSeRespeta #ManosFueraDeVenezuela #SomosZonaDePaz https://t.co/0eQF2NB2Gt",,D,2
654,"#DiaDelLibro #rimaypoesia Los alumnos de 3° han realizado sus propios #marcapáginas con pequeñas rimas, sin perder de vista al protagonista #MiguelDeCervantes #rimasconhumor USER USER https://t.co/6XwWEX0RW8",,D,2
655,Hoy he leído cosas tan bonitas en razón del #DiaDelLibro ojalá así fuera Twitter todos los días. 💜,,D,2
656,#Messi le está dando el título de #LaLiga al #Barcelona con su gol número 34 de la temporada tras abrir el marcador ante el #Levante (1-0).,,D,2
657,"Hoy se ha perdido en horas, lo que la humanidad conservó durante siglos... No solo #París sufre... #NotreDame: me siento triste",,D,2
658,#GameofThrones #GameOfThrones #JuegodeTronos Apreté los puños y aguanté la respiración por 80 minutos! Que combate y final de episodio!,,D,2
659,"Para que lo de Venezuela se considere golpe de estado, tienen que poner urnas? O cómo va esto? #Venezuela",,D,2
660,"USER USER USER No es extraño que los medios hagan eso, nos regimos según la cultura occidental, nuestra sociedad está cimentada así, hace 2000 años es así. Obvio que nos duele más la pérdida de #notredame que la de la mezquita. Lo que no quita que esta última no signifique también una pérdida.",,D,2
661,Pedro Sánchez ha usado el guantelete del infinito y ha equilibrado el mapa electoral. #ElecccionesGenerales28A,,D,2
662,"No me gustó como le quitaron protagonismo a los lobos por los dragones, que a la final ni sirvieron #GameofThrones #GoT #JuegoDeTronos",,D,2
663,Después de los resultados de #EleccionesGenerales y ver el último capítulo #GoTS8 Cuando te levantes el lunes ¿Quiénes van a sufrir más bajas? #28Abril #VivePoniente #JuegoDeTronos,,D,2
664,La última visita de un Papa a #NotreDame https://t.co/3O7uL8RcWm,,D,2
665,Feliz #DiaDelLibro En este momento me encuentro sumido en esta fructífera lectura de Historia Política Cuál es la tuya? https://t.co/sA82MusGAx,,D,2
666,¡¡El Socialismo los está matando!! #FueraMaduro #VenezuelaLibre,,D,2
667,Vamos #Venezuela Dios está con ustedes. Tienen todo nuestro apoyo hermanos,,D,2
668,"El libro que transforma #DíaDelLibro #Libros #AunsoloDiosadoramos en Buenos Aires, Argentina https://t.co/7gcgyYG9SY",,D,2
669,"USER Señores no pasa nada por decirlo. No es un grupo de fans,es un colectivo oculto: funcionarios de prisiones que han salido del ocurantismo sometido por sus dirigentes. DIGNIDAD!! #TuAbandonoMePuedeMatar #sosprisiones #ElDebateDecisivo #funcionariosdeprisiones #DiaDelLibro",,D,2
670,Los memes saludaron al campeón Barcelona y se acordaron de un equipo blanco. 🤣 #LaLiga https://t.co/MmMJsJA0B9 https://t.co/ddrRDtwEdP,,D,2
671,"Impresionante, tienen listos los robles para reemplazar estructura dañada y hasta un sacerdote bombero había, gracias a un protocolo de seguridad que implementaron hace décadas . Wow! #NotreDame",,D,2
672,Lo mejor de volver a los colegios es que te das cuenta cómo ha cambiado todo 😂 #28A #ElecccionesGenerales28A https://t.co/WVhrrkmp8o,,D,2
673,"Esas vueltas que se acaba de dar Messi tras la falta cometida, me hizo recordar a Neymar. 🙄 #ChampionsLeague",,D,2
674,Como puede estar casado sonriendo??????? Me lo explicáis?????????? Ufffff ya me joderia. #ElecccionesGenerales28A es odioso este tío.,,D,2
675,Qué mal lo paso con las batallas joder... Temblando estoy #JuegoDeTronos #Got8x03,,D,2
676,De lo único que me alegro es de que mi voto a servido para algo y que V🤮X se ha dado el batacazo de la jornada. #ElecccionesGenerales28A,,D,2
677,Acabo de ver el último capítulo de #JuegoDeTronos y solo quiero deciros que empieza por el principio y termina por el final.,,D,2
678,Café y Fútbol: #TottenhamHotspur vs #Ajax #ChampionsLeague Leg 1 https://t.co/HJkfdLfNjE,,D,2
679,Duro el episodio Arya lo hizo #juegodetronos #GameOfThornes,,D,2
680,#NotreDame una pequeña historia en imagenes https://t.co/ZkAnquiBEx,,D,2
681,"USER , titular con el USER para enfrentar a Valladolid por #LaLiga. https://t.co/ZUisVJFCSS",,D,2
682,EN DIRECTO #LaLiga | ¡Todo listo en el Camp Nou para que arranque el… https://t.co/1DLPAhGMwK Ver: https://t.co/rCTe9N4DGE,,D,2
683,"¡Feliz #DiaDelLibro, hijos de la gran puta! 😂 https://t.co/0DBasxQkzc",,D,2
684,"Quien ve en las llamas de #NotreDame un pretexto para ofender una religión o una nación, no ha entendido nada de la humanidad y su grandeza.",,D,2
685,¿En serio ese gol de #Messi ? #ChampionsLeague ⚽,,D,2
686,"FLIPANTE, la mejor serie de todos los tiempos #Got #Nightking #JuegoDeTronos #VivePoniente #WinterIsHere",,D,2
687,"No ha habido daños personales... no hago más que leer esto. Solo un necio puede contemplar esta foto de Notre Dame en llamas y decir que no hay daños personales. PUES CLARO QUE HAY DAÑOS PERSONALES!! Cuantiosos y terribles daños personales. Hoy, todo el mundo llora. 😢 #NotreDame https://t.co/CvsiXluzhk",,D,2
688,"Es triste ver como se pierde arquitectura única y bastante antigua, mando todo mi apoyo a los parisinos que sufren esta tragedia y poder evitar otra como esta, #NotreDame https://t.co/SsIwW6vzgY",,D,2
689,Ojala el final de Maduro sea igual al final de Khadafi... #Venezuela,,D,2
690,Aprovecha esta temporada de vacaciones para asistir a la 1a. Feria Internacional del Libro que se llevará acabo en la Cámara de Diputados. Seguro encontrarás lecturas interesantes para ti y tu familia. #DiaDelLibro #FILCámara https://t.co/MjnTvsbcMf,,D,2
691,Feliz #DiaDelLibro ¿Qué mejor manera de celebrarlo que con un 40% de DESCUENTO en todas nuestras ediciones DigiBok? Tienda Online: https://t.co/eFhpvXkU9T https://t.co/pQEA7mGNs8,,D,2
692,3 autores latinoamericanos para celebrar el #DíadelLibro https://t.co/K5euJ05Yci,,D,2
693,Pues esto es lo que vamos a tener... #ElecccionesGenerales28A #28A #EleccionesL6 https://t.co/SLXO72F6UX,,D,2
694,No me gustaría que el Perro la salvase una vez más. #JuegoDeTronos #GameOfThrones #VivePoniente #Got8x03,,D,2
695,Leer es un placer indescriptible. #LeerEstáChingón #DíadelLibro USER https://t.co/7p7rvNZXWe,,D,2
696,⚠️ #ATENCIÓN #Internacional Miles de venezolanos acudieron al Palacio de Miraflores y sus alrededores. El #Chavismo se movilizó una vez más contra el fallido golpe de Estado. #ATnoticias #Venezuela #VenezuelaSeRespeta #30Abr #PuebloEnMirafloresConMaduro #CorreoOrinocoImpacto https://t.co/7rpSG80opZ,,D,2
697,Viendo el capitulo 3 de #JuegoDeTronos y solo puedo decir una cosa: Tengo miedo ... #VivePoniente https://t.co/G1Bc3V3W4m,,D,2
698,No todas las batallas son para avanzar. Algunas batallas simplemente son para no retroceder. Esto solo es el comienzo. #ElecccionesGenerales28A,,D,2
699,"#EfemérideDeHoy El #DíadelLibro fue instaurado por la #UNESCO en el año de 1995, para rendir un homenaje universal a libros y autores, que nos motivan a descubrir el placer de la lectura y el valor de sus contribuciones, que impulsan el progreso social y cultural en el mundo. https://t.co/WXf1klu3yE",,D,2
700,#GretaThunberg : propuesta para el #NobelPeacePrize de la Paz Se lo merece?,,D,2
701,"como es el #DiaDelLibro creo apropiado comentar un par de cosas porque, me gustan esas cuestiones(?)",,D,3
702,"#eleccionesl6 #28A #ElecccionesGenerales28A #EleccionesGenerales2019 Bueno veremos cuando empiece el recuento,auguro un buen resultado para USER USER al final",,D,3
703,#DiaDelLibro #BBMAsTopSocial BTS USER que mejor que ayudar a las votaciones y hacer mención de uno de los días que más me gusta del año! https://t.co/l0KuUa67D1,,D,3
704,El mejor placer de la vida! Incluso mejor que ver series de Netflix. Leer. 📚 Feliz Día #DiaDelLibro,,D,3
705,No hay tarado sin lacito. Con votantes así es imposible combatir al nazi Quim Torrá o el subnormal de Rufián. Pregunta de verdad: Estos anormales en qué coño trabajan? #NotreDame https://t.co/YWSPcnpRLi,,D,3
706,"Pues en el #DiaDelLibro me estoy refinando este. ¿Ustedes, cuál? #DíaInternacionalDelLibro https://t.co/oRVI6ijIoO",,D,3
707,#RFEF ⚽ #LaLiga | El orden del día de la asamblea de la RFEF https://t.co/pOETaZwqjg https://t.co/h138AVuq2O,,D,3
708,❗️❗️❗️OJO!! TODO TWiTTER ES UN SPOILER! ❗️❗️❗️ #juegodetronos #GameofThones,,D,3
709,"Llora #francia, Llora el mundo entero. Siglos de historia ardiendo en cuestión de horas. Un viaje de estudios que ahora invade de nuevo mi memoria. #notredame #paris #france #fire #patrimoniodelahumanidad https://t.co/l6W3qR26SN",,D,3
710,"Felicitaciones por San Jorge y el #DiaDelLibro de última hora. El mejor que he leído en lo que va de año es, curiosamente, un halago a la lectura: ""Como una novela"", de Daniel Pennac. https://t.co/f4tzdWVnXG",,D,3
711,-¿Confirmamos que ha sido uno de los mejores episodios que he visto? -Confirmamos #GOT #JuegodeTronos #GameofThrones,,D,3
712,#juegodetronos #WinterIsHere #winterfell #WinterIsComing #GameOfThrones Mi grito con lo que hizo Melissandre se oyó en la China. ¡Que emoción!,,D,3
713,Esto no va a terminar bien. Salva a Venezuela! ❤️🇨🇴 #Venezuela #VenezuelaLibre https://t.co/8NLYroBNrH,,D,3
714,"Y, a colación del #DíaDelLibro, en nuestra pestaña de ""recomendaciones"" os proponemos algunos 😛 Agracedemos que nos recomendéis vosotros también algunos que merezcan la pena, para añadirlos. Si os queréis extender, mucho mejor que sea ahí en la pestaña: https://t.co/dqeRe2FP3c",,D,3
715,Quien diga que se esperaba el final de este capítulo de #JuegodeTronos miente. Y punto. #GameofThrones #GOT #8x03 ❄️,,D,3
716,"Tengo más sueño que una mierda, pero ahora viene JUEGO DE TRONOS 😍 #JuegoDeTronos #GOT",,D,3
717,ENCUESTA: ¿Está cumpliendo tus expectativas la última temporada de #JuegodeTronos ? https://t.co/NwqaHdwYtU,,D,3
718,🔜 #BarçaLevante ¿Seremos esta noche campeones de #LaLiga? 💪 🔵🔴 #FemBarçaFemPenya #ForçaBarça https://t.co/yCxfASBKxz,,D,3
719,"Hoy es #DiaInternacionalDelLibro, una conmemoración celebrada a nivel mundial promovida por la USER con el objetivo de fomentar la lectura, la industria editorial y la protección del derecho de autor. #DiaDelLibro https://t.co/S4zW1e9AUm",,D,3
720,Así se defiende una bandera y no como lo hace la extrema derecha! Que grandes! Soy feliz! #GraciasEspaña #Elecciones2019 #ElecccionesGenerales28A,,D,3
721,Esperando con ansias que ruede el balón y ver al mejor equipo del mundo USER deslumbrarnos con su juego. #ChampionsLeague #VamosBarça https://t.co/uIqSOlfGkk,,D,3
722,#Campeón #LaLiga #ViscaBarça #ForçaBarça 8 de los últimos 11 años Enorme satisfacción! !!!!! Vamos !!!!! https://t.co/Nxxy8GweNj,,D,3
723,"Mira, si hoy no se lia, para mi pasa de la mejor serie de la historia a la mayor decepcion de la historia. #JuegodeTronos",,D,3
724,¡Abajo el intento de golpe en #Venezuela! https://t.co/EaWnYeXNBh,,D,3
725,"USER Para Guaidó es muy fácil decir, alcémonos en armas, enardece al pueblo y cuando empieza la batalla se va con su equipo a esperar que el pueblo venezolano haga lo que hubieran podido hacer desde hace mucho sin necesidad de un supuesto líder, #fuerzapueblovenezolano #Venezuela",,D,3
726,"USER No era insólito, más bien relajante 🤓🏖️ #LeerEstáChingón #DíaDelLibro #TokioBlues https://t.co/q2ci6v8PmC",,D,3
727,Fotos exclusivas (pero pendientes de comprobación de su veracidad) del interior de Notre Dame durante el incendio. #notredame https://t.co/k1nsPz2zcx,,D,3
728,"En el día internacional del libro. Voy a comerme todas las letras, todas las palabras y las páginas escritas que nunca leeré. #yoentoncesyo #poesíarandom #DiaDelLibro",,D,3
729,"Esta es de la España que hay que estar orgulloso, la que se levanta a votar para parar a la ultraderecha, no la que saca la bandera para hacer daño #ElecccionesGenerales28A #Elecciones2019",,D,3
730,#campeones #Barcelona #BarçaLevante #Barca USER USER eres el mejor de la historia USER Vamos por más #LaLiga https://t.co/MZwwBnVQb8,,D,3
731,"Se nos ha pasado el susto y empezamos con las risas, pero lo que viene no es ninguna broma. La cuadratura del círculo o el cinturón sanitario de Schrödinger. #ElecccionesGenerales28A #Elecciones28A #pactometro #28A",,D,3
732,Ha terminado la #ChampionsLeague pero no las emociones. Te esperamos en nuestra casa para vivir el Monterrey vs Tigres ⚽️ https://t.co/kBLvvbbPdD,,D,3
733,Este #30Abr se han registrado manifestaciones ciudadanas para exigir el retorno de la democracia en los 23 estados de #Venezuela y el Distrito Capital.,,D,3
734,Hay personajes que llevo demasiados minutos sin ver KESTAPASANDO #JuegodeTronos,,D,3
735,"#GameofThrones #JuegoDeTronos #ForTheThrone Voy a volver a ver los últimos 10 minutos, porque estaba en shock y no me he enterado. 😕",,D,3
736,Y así sigo... El puto mejor capítulo de la historia #JuegoDeTronos #GOT #mañanaTodosSomosCaminantes 😅 https://t.co/5o2VZCUgkR,,D,3
737,"#QueNoSeTePase ¡Lamentable! 😥 Las llamas no solamente devoraron la madera de #NotreDame, sino también más de ocho siglos de historia francesa y europea 👉 https://t.co/dgYPtqFk45 https://t.co/hTyon6Zhmg",,D,3
738,"Catedral de #NotreDame, símbolo gótico de París 🇫🇷🕍 https://t.co/Xr2yv0g9DR https://t.co/vZt2XPFqV4",,D,3
739,#DiaDelLibro Los 5 mejores libros de Isaac Asimov https://t.co/cifraum3j2,,D,3
740,#LaLiga Así levantó Messi el trofeo de campeón para el Barcelona. https://t.co/xLwJ607amk,,D,3
741,"USER Con respeto , estan puro web... lo que ustedes deben hacer es apoyar.una intervención militar yanqui en #Venezuela",,D,3
742,"Si no puedes evitar usar ""golpe de estado"" para describir lo de hoy, lo siento, pero no quiero hablar contigo del asunto. Hoy no es el día para entender ignorancias y diferenciarlas de malas intenciones. #Venezuela",,D,3
743,En shock por ver que en pleno siglo XXI siga habiendo tanto extremismo. Me parece indignante.. #ElecccionesGenerales28A,,D,3
744,Leer expande la mente y nos lleva a recorrer mundos maravillosos. ¿Cuál es su libro favorito? Celebremos el Día Internacional del Libro y cultivemos nuestra imaginación. #DíadelLibro https://t.co/KpqYQ7guZM,,D,3
745,Auténtica fiesta de la democracia #28A #ElecccionesGenerales28A,,D,3
746,Que Pena enorme #NotreDame.. USER un beso grande.. cuánto me acordé de vos..!,,D,3
747,"Una y otra vez,una y otra vez...así lo podriás ver un millón de veces y nunca te cansarias de disfrutarlo! . Lío,eres #elputoamo !! . USER #UCL #ChampionsLeague https://t.co/rUxIrCjUtF",,D,3
748,IMPOTENCIA. Esa jodida palabra es la que mejor describe lo que siento. #NotreDame #ArdeNotreDame,,D,3
749,#Venezuela | Se enfrentan opositores y militares pro-Maduro https://t.co/GPingnXTfe,,D,3
750,"#ElecccionesGenerales28A madre mía, el país parece ser que se va a la mierda...",,D,3
751,"Cambiando de tema, cómo me jode que utilicéis una imagen de El Señor de los Anillos pa vuestras mierdas, siendo de mis pelis favs, coño. #ElecccionesGenerales28A #EleccionesL6 https://t.co/DJOi5r41Kz",,D,4
752,Ahora es #OperacionLiberdad #Venezuela #JuntosPodemos Un pueblo unido jamás será vencido. #Venezuelan USER USER https://t.co/C1COgnZK2V,,D,4
753,Los militares siguen pidiendo asilo a países vecinos. #30Abr #Venezuela https://t.co/6lhrzc6Pyx,,D,4
754,"Mi solidaridad con los parisinos, con la alcaldesa de París USER y con toda Francia por el incendio de la emblemática catedral de  #NotreDame, patrimonio arquitectónico, cultural y religioso de la humanidad. una pena https://t.co/DzIQZCA5SR",,D,4
755,"Porque no envió a su ejercito a destrozar todo y en el proceso el cebo muera, No, tiene que ir el mismo en persona exponiéndose a lo que cualquiera con dos neuronas sabría es una trampa. #juegodetronos",,D,4
756,"USER USER USER así es, sin embargo #Assange ha sido cruelmente juzgado y condenado por los potentados del Reino Unido, Suiza, EEUU.... #AssangeEnPeligro #NotreDame",,D,4
757,Arrinconado el #Barça por un ordenado #Liverpool que domina EL ST... #ChampionsLeague,,D,4
758,#GeneraciónGreta: seis adolescentes en lucha contra el statu quo https://t.co/1cwkkSkx09 #EmmaGonzález #WillConnolly #AnunaDeWeber #JazzJennings #AhedTamimi #AhedTamimi #GretaThunberg,,D,4
759,Esperando impacientemente las primeras declaraciones De AZNAR ! La Mano que mece la Cuna de la Derecha ! #ElecccionesGenerales28A,,D,4
760,"Quiero que entréis en pánico, porque la casa está en llamas, afirmó #GretaThunberg https://t.co/NjxKGbseuY",,D,4
761,"Primeros datos de escrutinio confirmarían los sondeos. Victoria clara de #PSOE, hundimiento del #PP y sin sorpasso alguno de #Vox, sin mayoría de gobierno ni en izquierda ni en derecha. Escrutado solo 4%, noche todavía larga #ElecccionesGenerales28A #Elecciones28A #CanalSur28A https://t.co/vyCrHmp6e0",,D,4
762,"#FridaysForFuture USER tiene aún carita de bebé, pero ya es toda una #influencer a nivel mundial. Su lucha por el #CambioClimático ha provocado que incluso se publique un libro con sus discursos más emotivos. #RDCL #ClimateStrike #GretaThunberg https://t.co/WoRqekSMis https://t.co/mojLPKCrGl",,D,4
763,"Aún no se puede dar por eliminado al #Tottenham, de todas las derrotas posibles en su campo, el 0-1 es la mejor de todas, ahora solo tienen que salir a ganar en #Ajax y con eso se inscribirían en la Final de la #ChampionsLeague, aunque veo muy favorito al #Ajax.",,D,4
764,Espero que todos ya estén listos para gritar los goles del Barça!! porque hay que creer y confiar que mañana ellos van a ganar🤗🤗 ♥️💪⚽⚽#ChampionsLeague #Barça,,D,4
765,"Cuando hay quilombo en #Venezuela, que hablen los kirchneristas y listo. #NoVuelvenMas",,D,4
766,Algunas imágenes que nos dejó la jornada de hoy en #Caracas #venezuela #30A #Crisis #photography #photojournalism #clashes https://t.co/ErS14OFf4n,,D,4
767,No pudo haber mejor combinación descanso y día de Champions 😎😎😋🤩 #ChampionsLeague #DíaDelTrabajo,,D,4
768,Menos mal que aún no nos hemos vuelto locos del todo.... ahora USER y USER hacer por una vez caso al pueblo y dejar de lado a los de la derecha. No te unas a ninguno de ellos. El pueblo no los quiere #28A #ElecccionesGenerales28A,,D,4
769,"Ayer mucho lloré. Unos me dirán ""loca, llorar por un edificio antiguo"" y otros, ""normal, llorar por un edificio antiguo"". #NotreDame",,D,4
770,La Gran Guerra de #JuegoDeTronos nos ha dejado muchos momentos para el recuerdo y unas cuantas dudas https://t.co/UE7lCgLSez https://t.co/OO3tjUR34c,,D,4
771,La #CIDH se reune de urgencia para analizar situación de #Venezuela vía EFE,,D,4
772,"CULTURA ➡️ #SanJuan USER pone la tinta descubridora al #DiaDelLibro El catedrático de Historia Moderna de la USER el sanjuanero David González Cruz, presenta las dos últimas investigaciones https://t.co/IkgvaYl8J3",,D,4
773,"Muy de acuerdo con Usted, Laura. #NotreDame https://t.co/LWXbivmoXX",,D,4
774,Qué gol tan USER el de Messi. #ChampionsLeague,,D,4
775,Me preocupa que la suma PSOE Ciudadanos da mayoría absoluta... #28A #ElecccionesGenerales28A,,D,4
776,Fracaso total el nuevo intento de golpe de Estado en #Venezuela. .. otra derrota más para Goliat,,D,4
